/AA|Anchorage, AK: (Anchorage Mean)
AOG|Anshan, Cn|
AOH|Lima, OH: Lima Allen County
AOI|Ancona, Italy: Ancona/Falconara
AOJ|Aomori, Japan: Aomori Airport
AOK|Karpathos, Greece: Karpathos Airport
AOL|Paso De Los Libres, Argentina: Paso Libres
AOO|Altoona, PA: Blair County
AOR|Alor Setar, Malaysia: Alor Setar Airport
AOS|Amook Bay, AK: Amook Bay Airport
AOT|Aosta, It|
AOU|Attopeu, La|
APA|Denver, CO: Arapahoe County
APB|Apolo, Bolivia: Apolo Airport
APC|Napa, CA: Napa County
APE|San Juan Aposento, Peru: San Juan Aposento Airport
APF|Naples, FL: Naples Municipal
APG|Aberdeen, MD: Phillips Army Air Field
API|Apiay, Co|
APK|Apataki, French Polynesia: Apataki Airport
APL|Nampula, Mozambique: Nampula Airport
APN|Alpena, MI: Phelps/Collins
APO|Apartado, Colombia: Apartado Airport
APP|Asapa, Pg|
APR|April River, Papua New Guinea: April River Airport
APT|Jasper, TN: Marion County Brown Field
APU|Apucarana, Br|
APV|Apple Valley, CA: Apple Valley Airport
APW|Apia, Western Samoa: Faleolo International
AQA|Araraquara, Br|
AQG|Anqing, Cn|
AQI|Qaisumah, Saudi Arabia: Qaisumah Airport
AQJ|Aqaba, Jordan: King Hussein International
AQM|Ariquemes, Brazil: Ariquemes North
AQP|Arequipa, Peru: Rodriguez Ballon Chachani
AQS|Saqani, Fiji Islands: Saqani Airport
AQY|Alyeska, AK: Alyeska Airport
AR1|Russellville, AR: Russellville Regional
AR2|Conway, AR: Dennis F Cantrell Field
ARA|New Iberia, LA: Acadiana Regional
ARB|Ann Arbor, MI: Ann Arbor Municipal
ARC|Arctic Village, AK: Wien Arctic Village
ARD|Alor, Indonesia: Arcadia Municipal
ARE|Arecibo, PR: Antonio/Nery/Juarbe Pol
ARG|Walnut Ridge, AR: Walnut Ridge Regional
ARH|Arkhangel'sk, Russia (European): Arkhangel'sk Airport
ARI|Arica, Chile: Chacalluta
ARK|Arusha, Tanzania: Arusha Airport
ARM|Armidale, Australia: Armidale Airport
ARN|Stockholm, Sweden: Arlanda
ARP|Aragip, Papua New Guinea: Aragip Airport
ARQ|Arauquita, Colombia: Arauquita Airport
ARR|Unknown Code Description|
ARS|Aragarcas, Brazil: Aragarcas Airport
ART|Watertown, NY: Watertown New York International
ARU|Aracatuba, Brazil: Aracatuba
ARV|Minocqua, WI: Lakeland
ARW|Arad, Romania: Arad Airport
ARX|Asbury Park, NJ: Asbury Park/Monmouth County
ARY|Ararat, Australia: Ararat Airport
ARZ|N'zeto, Angola: Nzeto North
ASA|Assab, Eritrea: Assab Airport
ASB|Ashkhabad, Turkmenistan: Ashkhabad Airport
ASC|Ascension, Bolivia: Ascension Airport
ASD|Andros Town, Bahamas: Andros
ASE|Aspen, CO: Aspen Pitkin County Sardy Field
ASF|Astrakhan, Ru|
ASG|Ashburton, New Zealand: Ashburton Airport
ASH|Nashua, NH: Boire Field
ASI|Ascension Island, St. Helena: Ascension Aux Af
ASJ|Amami O Shima, Japan: Amami
ASK|Yamoussoukro, Cote d Ivoire (formerly Ivory Coast): Yamoussoukro Airport
ASL|Marshall, TX: Harrison County
ASM|Asmara, Eritrea: Asmara Airport
ASN|Talladega, AL: Talladega Municipal
ASO|Asosa, Ethiopia: Asosa Airport
ASP|Alice Springs, Australia: Alice Springs Airport
ASQ|Austin, NV: Austin Airport
ASR|Kayseri, Turkey: Kayseri Airport
AST|Astoria/Seaside, OR: Clatsop County
ASU|Asuncion, Paraguay: Presidente Stroessner
ASV|Amboseli, Ke|
ASW|Aswan, Arab Republic Of Egypt: Aswan Airport
ASX|Ashland, WI: John F Kennedy Memorial
ASY|Ashley, ND: Ashley Municipal
ATA|Anta, Peru: Anta Huaraz
ATB|Atbara, Sudan: Atbara Old
ATC|Arthurs Town, Bahamas: Arthurs Town Airport
ATD|Atoifi, Sb|
ATE|Antlers, OK: Antlers Municipal
ATH|Athens, Greece: Athens International Eleftherios Venizelos
ATI|Artigas, Uruguay: Artigas Airport
ATK|Atqasuk, AK: Atqasuk Airport
ATL|Atlanta, GA: Hartsfield-Jackson
ATM|Altamira, Brazil: Altamira Airport
ATN|Namatanai, Papua New Guinea: Namatanai Airport
ATO|Athens, OH: Ohio University
ATP|Aitape, Papua New Guinea: Aitape Airport
ATQ|Amritsar, India: Amritsar Airport
ATR|Atar, Mauritania: Atar Airport
ATS|Artesia, NM: Artesia Municipal
ATT|Atmautluak, AK: Atmautluak Airport
ATU|Attu, AK: Casco Cove
ATV|Ati, Chad: Ati Airport
ATW|Appleton, WI: Outagamie County
ATY|Watertown, SD: Watertown Municipal
ATZ|Assiut, Arab Republic Of Egypt: Assiut Airport
AUA|Aruba, Aruba: Reina Beatrix International
AUC|Arauca, Colombia: Santiago Perez
AUD|Augustus Downs, Australia: Augustus Downs Station
AUG|Augusta/Waterville, ME: Augusta
AUH|Abu Dhabi, United Arab Emirates: Abu Dhabi International
AUJ|Ambunti, Pg|
AUK|Alakanuk, AK: Alakanuk New
AUL|Aur Island, Mh|
AUM|Austin/Albert Lea, MN: Austin Municipal
AUN|Auburn, CA: Auburn Municipal
AUO|Auburn/Opelika, AL: Auburn Opelika
AUP|Aguan, Papua New Guinea: Aguan Papua N.G.
AUQ|Atuona, French Polynesia: Atuona
AUR|Aurillac, France: Aurillac Airport
AUS|Austin, TX: Austin - Bergstrom International
AUU|Aurukun Mission, Au|
AUV|Aumo, Pg|
AUW|Wausau/Marshfield, WI: Wausau Municipal
AUX|Araguaina, Brazil: Araguaina Airport
AUY|Aneityum, Vanuatu: Anatom
AUZ|Aurora, IL: Aurora Municipal
AVB|Aviano, Italy: Aviano Air Force Base
AVC,
AVI|Ciego De Avila, Cuba: Maximo Gomez
AVK|Unknown Code Description|
AVL|Asheville, NC: Asheville Regional
AVN|Avignon, France: Avignon France
AVO|Avon Park, FL: Avon Park Municipal
AVP|Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton
AVU|Avu Avu, Sb|
AVV|Avalon, Australia: Avalon Airport
AVW|Tucson, AZ: Avra Valley
AVX|Santa Catalina Island, CA: Catalina
AWA|Awasa, Ethiopia: Awasa Airport
AWD|Aniwa, Vu|
AWH|Awareh, Et|
AWK|Wake Island, TT: Wake Island Airfield
AWM|West Memphis, AR: West Memphis Municipal
AWR|Awar, Papua New Guinea: Awar Airport
AWX|Andrews, TX: Andrews County
AWZ|Ahwaz, Iran: Ahwaz Airport
AXA|Anguilla, Anguilla: Wallblake
AXB|Alexandria Bay, NY: Alexandria Bay Airport
AXC|Aramac, Australia: Aramac Airport
AXD|Alexandroupolis, Greece: Alexandroupolis Airport
AXK|Ataq, Ye|
AXM|Armenia, Colombia: El Eden
AXN|Alexandria, MN: Alexandria Municipal
AXP|Spring Point, Bahamas: Springpoint
AXR|Unknown Code Description|
AXS|Altus, OK: Altus Municipal
AXT|Akita, Japan: Akita Airport
AXU|Axum, Ethiopia: Axum Airport
AXV|Wapakoneta, OH: Neil Armstrong
AXX|Eagle Nest, NM: Angel Fire
AYK|Arkalyk, Kz|
AYL|Anthony Lagoon, Australia: Anthony Lagoon Airport
AYO|Ayolas, Py|
AYP|Ayacucho, Peru: Ayacucho Airport
AYQ|Ayers Rock, Australia: Ayers Rock Airport
AYR|Ayr, Australia: Ayr Airport
AYS|Waycross, GA: Waycross-Ware County
AYT|Antalya, Turkey: Antalya Airport
AYU|Aiyura, Pg|
AYW|Ayawasi, Indonesia: Ayawasi Airport
AZ1|Grand Canyon, AZ: Valle
AZ2|Williams, AZ: H.A. Clark Memorial Field
AZ3|Glendale, AZ: Glendale Municipal
AZA|Phoenix, AZ: Phoenix - Mesa Gateway
AZB|Amazon Bay, Pg|
AZD|Yazd, Iran: Yazd Airport
AZG|Apatzingan, Mexico: Apatzingan New
AZN|Andizhan, Uz|
AZO|Kalamazoo, MI: Kalamazoo Municipal
AZR|Adrar, Dz|
AZS|Samana, Dominican Republic: Samana El Catey International
BAA|Bialla, Papua New Guinea: Bialla Airport
BAB|Marysville, CA: Beale Air Force Base
BAC|Barranca De Upia, Colombia: Barranca De Upia Airport
BAD|Shreveport, LA: Barksdale Air Force Base
BAE|Barcelonnette, France: Barcelonnette Airport
BAF|Westfield, MA: Barnes Municipal
BAG|Baguio, Philippines: Baguio Airport
BAH|Manama, Bahrain Island: Bahrain International
BAI|Buenos Aires, Costa Rica: Buenos Aires Airport
BAJ|Bali, Pg|
BAK|Baku, Azerbaijan: Baku  Heydar Aliyev International
BAL|Batman, Turkey: Batman Airport
BAM|Battle Mountain, NV: Lander County
BAO|Ban Mak Khaeng, Thailand: Udorn
BAQ|Barranquilla, Colombia: Col   E. Cortissoz
BAR|Baker Island, AK: Baker Army Air Field
BAS|Balalae, Sb|
BAT|Barretos, Brazil: Barretos Airport
BAU|Bauru, Brazil: Bauru Airport
BAV|Baotou, China: Baotou Airport
BAX|Barnaul, Russia (Asian): Barnaul
BAY|Baia Mare, Romania: Baia Mare Airport
BBA|Balmaceda, Chile: Balmaceda Airport
BBC|Bay City, TX: Bay City Municipal
BBF|Burlington, MA: Laurence Hanscom
BBG|Butaritari, Ki|
BBH|Al-Baha, Saudi Arabia: Al Baha
BBI|Bhubaneswar, India: Bhubaneswar Airport
BBK|Kasane, Bw|
BBM|Battambang, Kh|
BBN|Bario, My|
BBO|Berbera, Somalia: Berbera Airport
BBP|Unknown Code Description|
BBQ|Barbuda, Antigua and Barbuda: Cocoa Point
BBR|Basse Terre, Guadeloupe-France: Baillif
BBS|Blackbush, United Kingdom: Blackbush Airport
BBT|Berberati, Central African Republic: Berberati Airport
BBU|Bucharest, Romania: Baneasa
BBX|Blue Bell, PA: Wings Field
BBY|Bambari, Central African Republic: Bambari Airport
BBZ|Zambezi, Zambia: Zambezi Airport
BCA|Baracoa, Cuba: Baracoa Airport
BCB|Blacksburg, VA: Virginia Tech
BCC|Bear Creek, AK: Bear Creek Airport
BCD|Bacolod, Philippines: Bacolod Airport
BCE|Bryce Canyon, UT: Bryce Canyon Airport
BCH|Baucau, East Timor-Indonesia: Cakung International
BCI|Barcaldine, Australia: Barcaldine Airport
BCJ|Crestone, CO: Baca Grande
BCK|Bolworra, Qld., Australia|
BCL|Barra Colorado, Costa Rica: Barra Del Colorado
BCM|Bacau, Romania: Bacau
BCN|Barcelona, Spain: Barcelona Airport
BCO|Baco, Et|
BCP|Bambu, Pg|
BCQ|Unknown Code Description|
BCR|Boca Do Acre, Br|
BCS|Belle Chasse, LA: Southern Belle Chasse Sea Plane Base
BCT|Boca Raton, FL: Boca Raton Public
BCV|Belmopan, Bz|
BCW|Benguera Island, Mz|
BCX|Beloreck, Ru|
BCY|Bulchi, Ethiopia: Bulchi Airport
BDA|Hamilton, Bermuda-UK: Bermuda Nas Kindley Field
BDB|Bundaberg, Australia: Bundaberg Airport
BDD|Badu Island, Au|
BDE|Baudette, MN: Baudette International
BDG|Blanding, UT: Blanding Airport
BDH|Bandar Lengeh, Iran: Lengeh
BDI|Bird Island, Seychelles Islands: Bird Is
BDJ|Bandjarmasin, Indonesia: Sepinggan
BDK|Bondoukou, Cote d Ivoire (formerly Ivory Coast): Bondoukou/Soko
BDL|Hartford, CT: Bradley International
BDM|Bandirma, Turkey: Bandirma Airport
BDN|Badin, Pakistan: Talhar
BDO|Bandung, Indonesia: Husein Sastranegara
BDP|Bhadrapur, Nepal: Bhadrapur
BDQ|Vadodara, India: Vadodara(Baroda)
BDR|Bridgeport, CT: Igor I Sikorsky Memorial
BDS|Brindisi, Italy: Brindisi/Casale
BDT|Gbadolite, Cd|
BDU|Bardufoss, Norway: Bardufoss Airport
BDY|Bandon, OR: Bandon State
BEB|Benbecula, United Kingdom: Benbecula Airport
BED|Bedford, MA: Laurence G Hanscom Field
BEF|Bluefields, Nicaragua: Bluefields Airport
BEG|Belgrade, Serbia: Beograd
BEH|Benton Harbor/St. Joseph, MI: Ross Field
BEI|Beica, Ethiopia: Beica
BEJ|Berau, Id|
BEL|Belem, Brazil: Val De Caes
BEM|Bossembele, Central African Republic: Bossembel
BEN|Benghazi, Libya: Benina
BEO|Newcastle, Australia: Belmont
BER|Berlin, Germany: (Metropolitan Area)
BES|Brest, France: Brest/Guipavas
BET|Bethel, AK: Bethel Airport
BEU|Bedourie, Australia: Bedourie North
BEV|Beersheba, Israel: Beersheba Airport
BEW|Beira, Mozambique: Beira Airport
BEY|Beirut, Lebanon: Beirut International
BEZ|Beru, Ki|
BFB|Blue Fox Bay, AK: Blue Fox Bay Airport
BFD|Bradford, PA: Bradford Regional
BFE|Bielefeld, De|
BFF|Scotts Bluff, NE: Western Nebraska Regional Airport
BFH|Curitiba, Br|
BFI|Seattle, WA: King County -Boeing Field
BFK|Denver, CO: Buckley Air Natl Guard Base
BFL|Bakersfield, CA: Meadows Field
BFM|Mobile, AL: Mobile Aerospace
BFN|Bloemfontein, Republic Of South Africa: J B M Hertzog
BFO|Buffalo Range, Zimbabwe: Buffalo Range Airport
BFP|Beaver Falls, PA: Beaver Falls County
BFQ|Bluffton, OH: Bluffton Airport
BFR|Bedford, IN: Virgil I Grissom Municipal
BFS|Belfast, United Kingdom: Belfast International   (Aldergrove)
BFT|Beaufort, SC: Beaufort County
BFU|Bengbu, Cn|
BFV|Buri Ram, Th|
BFX|Bafoussam, Cm|
BGA|Bucaramanga, Colombia: Gomez Nino
BGB|Booue, Gabon: Booue
BGC|Braganca, Pt|
BGD|Borger, TX: Hutchinson County
BGE|Bainbridge, Ga|
BGF|Bangui, Central African Republic: Bangui Mpoko
BGI|Barbados/Bridgetown, Barbados: Seawell
BGJ|Borgarfjordur, Is|
BGK|Big Creek, Bz|
BGL|Baglung, Nepal: Baglung
BGM|Binghamton/Endct/Jhnsn Cty, NY: Broome County
BGN|Brueggen, Germany: Bruggen
BGO|Bergen, Norway: Flesland
BGQ|Big Lake, AK: Big Lake Airport
BGR|Bangor, ME: Bangor International
BGS|Big Spring, TX: Webb Air Force Base
BGT|Bagdad, AZ: Bagdad Airport
BGU|Bangassou, Central African Republic: Bangassou Airport
BGW|Baghdad, Iraq: Al Muthana
BGX|Bage, Brazil: Comandante Gustave Kraemer
BGY|Milan, Italy: Orio Al Serio
BH1|Shaikh Isa, Bahrain Island: Shaikh Isa Airbase
BHA|Bahia De Caraquez, Ec|
BHB|Bar Harbor, ME: Bar Harbor Airport
BHC|Bullhead City, AZ: Laughlin Bullhead International
BHD|Belfast, United Kingdom: Belfast City
BHE|Blenheim, New Zealand: Blenheim Airport
BHG|Brus Laguna, Honduras: Araslaya
BHH|Bisha, Saudi Arabia: Bisha Airport
BHI|Bahia Blanca, Argentina: Comandante Espora Nab
BHJ|Bhuj, India: Bhuj Airport
BHK|Bukhara, Uzbekistan: Bukhara Airport
BHL|Bahia De Los Angeles, Mexico: Bahia De Los Angeles
BHM|Birmingham, AL: Birmingham Municipal
BHN|Beihan, Yemen: Beihan Airport
BHO|Bhopal, India: Bhopal Airport
BHQ|Broken Hill, Australia: Broken Hill Airport
BHR|Bharatpur, Nepal: Bharatpur Airport
BHS|Bathurst, Australia: Bathurst Airport
BHT|Brighton Downs, Australia: Brighton Downs Airport
BHU|Bhavnagar, India: Bhaunagar
BHV|Bahawalpur, Pakistan: Bahawalpur Airport
BHX|Birmingham, United Kingdom: Birmingham Airport
BHY|Beihai, China: Beihai Airport
BHZ|Metropolitan Area, Brazil: (Metropolitan Area)
BIA|Bastia, France: Bastia/Poretta
BIC|Big Creek, AK: Big Creek Airport
BID|Block Island, RI: Block Island  R.I.
BIE|Beatrice, NE: Beatrice Municipal
BIF|El Paso, TX: Biggs Army Air Field
BIG|Big Delta, AK: Allen Army Air Field
BIH|Bishop, CA: Bishop Airport
BII|Bikini Atoll, Marshall Islands: Enyu Airfield
BIK|Biak, Indonesia: Manuhua
BIL|Billings, MT: Logan International
BIM|Bimini, Bahamas: Bimini Island International
BIN|Bamian, Afghanistan: Bamian Airport
BIO|Bilbao, Spain: Bilbao Airport
BIP|Bir Moghreim, Mauritania: Bir Moghreim
BIQ|Biarritz, France: Anglet
BIR|Biratnagar, Nepal: Biratnagar Airport
BIS|Bismarck/Mandan, ND: Bismarck Municipal
BIU|Bildudalur, Is|
BIV|Bria, Central African Republic: Bria Airport
BIW|Billiluna, Au|
BIX|Biloxi, MS: Keesler Air Force Base
BIY|Bisho, Za|
BJA|Bejaia, Dz|
BJB|Unknown Code Description|
BJC|Broomfield, CO: Jeffco
BJD|Bakkafjordur, Is|
BJF|Batsfjord, No|
BJI|Bemidji, MN: Bemidji Beltrami County
BJJ|Wooster, OH: Wayne County
BJL|Banjul, The Gambia: Yundum International
BJM|Bujumbura, Burundi: Bujumbura Airport
BJR|Bahar Dar, Ethiopia: Bahar Dar Airport
BJS|Metropolitan Area, China: Metropolitan Area Airport
BJU|Bajura, Nepal: Bajura Airport
BJV|Bodrum, Turkey: Imsik
BJW|Bajawa, Id|
BJX|Leon-Guanajuato, Mexico: Del Bajio
BJZ|Badajoz, Spain: Talavera La Real
BKA|Moscow, Ru|
BKC|Buckland, AK: Buckland Airport
BKE|Baker, OR: Baker Municipal
BKF|Brooks Lake, AK: Brooks Lake Airport
BKH,Kekaha Sands Pacific Missile Range Facility
BKI|Kota Kinabalu, Malaysia: Kota Kinabalu Airport
BKK|Bangkok, Thailand: Bangkok International
BKL|Cleveland, OH: Lakefront
BKM|Bakalalan, Malaysia: Bakalalan Airport
BKN|Berni Nikon, Niger: Berni Nikon Airport
BKO|Bamako, Mali: Bamako Airport
BKQ|Blackall, Australia: Blackall Airport
BKS|Bengkulu, Indonesia: Padangkemiling
BKU|Betioky, Madagascar: Betioky Airport
BKW|Beckley, WV: Raleigh County Memorial
BKX|Brookings, SD: Brookings Municipal
BKY|Bukavu, Republic Of Congo: Kamembe
BKZ|Bukoba, Tanzania: Bukoba Airport
BLA|Barcelona, Venezuela: Campo Nuevo
BLB|Balboa, Panama Republic: Albrook
BLC|Bali, Cameroons: Bali Airport
BLD|Boulder City, NV: Boulder City Municipal
BLE|Borlange, Sweden: Borlange Airport
BLF|Princeton/Bluefield, WV: Mercer County
BLG|Belaga, Malaysia: Belaga Airport
BLH|Blythe, CA: Blythe Airport
BLI|Bellingham, WA: Bellingham International
BLJ|Batna, Algeria: Batna Airport
BLK|Blackpool, United Kingdom: Blackpool Airport
BLL|Billund, Denmark: Billund Airport
BLM|Belmar, NJ: Allaire
BLO|Blonduos, Iceland: Blonduos/Hjaltabakki
BLP|Bellavista, Peru: Bellavista Airport
BLQ|Bologna, Italy: Bologna/Borgo Panigale
BLR|Bangalore, India: Bangalore Airport
BLT|Blackwater, Australia: Blackwater Airport
BLU|Bluffton, OH: Bluffton Airport
BLV|Belleville, IL: Scott Air Force Base
BLZ|Blantyre, Malawi: Chileka International
BMA|Stockholm, Sweden: Bromma
BMB|Bumba, Republic Of Congo: Bumba Airport
BMC|Brigham City, UT: Brigham City Airport
BMD|Belo, Madagascar: Belo Sur Tsiribihina
BME|Broome, Australia: Broome Airport
BMG|Bloomington, IN: Monroe County
BMH|Bomai, Papua New Guinea: Bomai Airport
BMI|Bloomington, IL: Bloomington/Normal
BMJ|Baramita, Guyana: Baramita Airport
BMK|Borkum, De|
BML|Berlin, NH: Berlin Municipal
BMM|Bitam, Gabon: Bitam
BMO|Bhamo, Myanmar: Banmaw
BMP|Brampton Island, Australia: Brampton Island Airport
BMR|Unknown Code Description|
BMU|Bima, Id|
BMV|Ban Me Thuot, Vn|
BMW|Bordj Badji Mokhtar, Algeria: Bordj Mokhtar
BMX|Big Mountain, AK: Big Mountain Afs
BMY|Belep Island, Nc|
BNA|Nashville, TN: Nashville Metropolitan
BNB|Boende, Republic Of Congo: Boende Airport
BNC|Beni, Cd|
BND|Bandar Abbas, Iran: Bandar Abbas Airport
BNE|Brisbane, Australia: Brisbane International
BNF|Baranof, AK: Warm Spring Bay Sea Plane Base
BNG|Banning, CA: Banning Municipal
BNI|Benin City, Nigeria: Benin City Airport
BNJ|Unknown Code Description|
BNK|Ballina, Australia: Ballina Byron Gateway
BNL|Barnwell, SC: Barnwell County
BNN|Bronnoysund, Norway: Bronnoy
BNO|Burns, OR: Burns Municipal
BNP|Bannu, Pk|
BNS|Barinas, Venezuela: Barinas Civil
BNT|Bundi, Pg|
BNU|Blumenau, Br|
BNX|Banja Luka, Bosnia and Herzegovina: Banja Luka Airport
BNY|Bellona Island, Sb|
BNZ|Banz, Papua New Guinea: Banz Airport
BOA|Boma, Republic Of Congo: Boma Airport
BOB|Bora Bora, French Polynesia: Bora Bora Airport
BOC|Bocas Del Toro, Panama Republic: Bocas Del Toro International
BOD|Bordeaux, France: Bordeaux/Merignac
BOG|Bogota, Colombia: Eldorado International
BOH|Bournemouth, United Kingdom: Bournemouth/Hurn
BOI|Boise, ID: Boise Air Terminal
BOJ|Bourgas, Bulgaria: Burgas
BOK|Brookings, OR: Brookings State
BOM|Bombay, India: Bombay Airport
BON|Bonaire, Netherlands Antilles: Bonaire Airport
BOO|Bodo, Norway: Bodo Airport
BOP|Bouar, Cf|
BOQ|Boku, Papua New Guinea: Boku Airport
BOR|Belfort, France: Belfort/Fontaine
BOS|Boston, MA: Logan International
BOT|Boset, Pg|
BOU|Unknown Code Description|
BOV|Boang, Pg|
BOW|Bartow, FL: Bartow Municipal
BOX|Borroloola, Australia: Borroloola Airport
BOY|Bobo Dioulasso, Burkina Faso: Bobo Dioulasso Airport
BPC|Bamenda, Cm|
BPD|Unknown Code Description|
BPE|Bagan, Mm|
BPF|Batuna, Sb|
BPG|Barra Do Garcas, Br|
BPH|Bislig, Philippines: Bislig Airport
BPN|Balikpapan, Indonesia: Balikpapan Airport
BPS|Porto Seguro, Brazil: Porto Seguro Airport
BPT|Beaumont/Port Arthur, TX: Jefferson County
BPX|Bangda, Cn|
BPY|Besalampy, Mg|
BQA|Baler, Philippines: Baler Airport
BQB|Bussellton, Au|
BQE|Bubaque, Gw|
BQH|London, United Kingdom: Biggin Hill
BQK|Brunswick, GA: Glynco Jetport
BQL|Boulia, Au|
BQN|Aguadilla, PR: Borinquen
BQO|Bouna, Ci|
BQS|Blagoveschensk, Russia (Asian): Blagoveschensk Airport
BQT|Brest, By|
BQU|Bequia, St. Vincent and North Grenadines: J.F. Mitchell
BQV|Bartlett Cove, AK: Bartlett Cove Sea Plane Base
BQW|Balgo Hills, Au|
BR1|Parana, Brazil: Pato Branco
BRA|Barreiras, Brazil: Barreiras Airport
BRC|San Carlos De Bariloche, Argentina: San Carlos De Bariloche Airport
BRD|Brainerd, MN: Brainerd/Crow Wing County
BRE|Bremen, Germany: Bremen Airport
BRG|Whitesburg, KY: Whitesburg Municipal
BRI|Bari, Italy: Bari/Palese Macchie
BRK|Bourke, Australia: Bourke Airport
BRL|Burlington, IA: Burlington Municipal
BRM|Barquisimeto, Venezuela: Barquisimeto Airport
BRN|Berne, Switzerland: Bern/Belp
BRO|Brownsville, TX: Brownsville South Padre Is
BRQ|Brno, Czech Republic: Turany
BRR|Barra, United Kingdom: Barra Airport
BRS|Bristol, United Kingdom: Bristol/Lulsgate
BRT|Bathurst Island, Australia: Bathurst Island Airport
BRU|Brussels, Belgium: Brussels National
BRV|Bremerhaven, Germany: Bremerhaven/Am Luneort
BRW|Barrow, AK: Wiley Post/Will Rogers Memorial
BRX|Barahona, Dominican Republic: Barahona Habanero
BRY|Bardstown, KY: Samuels Field
BSA|Bosaso, Somalia: Bosaso Airport
BSB|Brasilia, Brazil: Brasilia Airport
BSC|Bahia Solano, Co|
BSD|Baoshan, China: Baoshan Airport
BSE|Sematan, Malaysia|
BSG|Bata, Equatorial Guinea: Bata Airport
BSK|Biskra, Algeria: Biskra Airport
BSL|Basle, Switzerland: Bale/Mulhouse
BSM|Austin, TX: Bergstrom Air Force Base
BSO|Basco, Philippines: Basco
BSQ|Bisbee, AZ: Bisbee Municipal
BSR|Basra, Iraq: Basrah/Maqal
BSS|Balsas, Brazil: Balsas
BSU|Basankusu, Republic Of Congo: Basankusu Airport
BSW|Boswell Bay, AK: Boswell Bay Airport
BSZ|Bartletts, AK: Bartletts Airport
BTA|Bertoua, Cameroons: Bertoua Airport
BTC|Batticaloa, Sri Lanka: Batticaloa Airport
BTE|Bonthe, Sierra Leone: Bonthe Airport
BTH|Batu Besar, Indonesia: Batu Besar Airport
BTI|Barter Island, AK: Barter Island Dew Station
BTJ|Banda Aceh, Indonesia: Blangbintang
BTK|Bratsk, Russia (Asian): Bratsk Airport
BTL|Battle Creek, MI: Wk Kellogg Regional Afld
BTM|Butte, MT: Bert Mooney Silver Bow County
BTP|Butler, PA: Butler County
BTR|Baton Rouge, LA: Ryan
BTS|Bratislava, Slovakia: Ivanka
BTT|Bettles, AK: Bettles Airport
BTU|Bintulu, Malaysia: Bintulu
BTV|Burlington, VT: Burlington International
BTY|Beatty, NV: Beatty Airport
BTZ|Bursa, Turkey: Bursa Airport
BUA|Buka Islands, Papua New Guinea: Buka
BUC|Burketown, Australia: Burketown Airport
BUD|Budapest, Hungary: Hung  Ferihegy
BUE|Buenos Aires, Argentina: (Metropolitan Area)
BUF|Buffalo, NY: Niagara International
BUG|Benguela, Angola: Benguela Airport
BUH|Bucharest, Romania: (Metropolitan Area)
BUI|Bokoudini, Id|
BUJ|Unknown Code Description|
BUK|Albuq, Ye|
BUL|Bulolo, Papua New Guinea: Bulolo Airport
BUN|Buenaventura, Colombia: Buenaventura
BUO|Burao, Somalia: Burao Airport
BUQ|Bulawayo, Zimbabwe: Bulawayo Airport
BUR|Burbank, CA: Burbank Bob Hope
BUS|Batumi, Georgia: Batumi Airport
BUV|Bella Union, Uruguay: Bella Union Airport
BUX|Bunia, Republic Of Congo: Bunia Airport
BUY|Bunbury, Australia: Bunbury Airport
BUZ|Bushehr, Iran: Bushehr Airport
BVA|Beauvais, France: Beauvais/Tille
BVB|Boa Vista, Brazil: Boa Vista Airport
